text,class
"Pediatric dental care: prevention and management protocols based on caries risk assessment. Recent increases in caries prevalence in young children, especially among minorities and the economically disadvantaged, highlight the need for early establishment of dental homes and simple, effective infant oral care preventive programs for all children as part of a medical disease prevention management model. This article presents an updated approach and practical tools for pediatric dental caries management by risk assessment in an effort to stimulate greater adoption of infant oral care programs among clinicians and early establishment of dental homes for young children. [corrected]",nocancer
"Dental sealants: a public health perspective. This article discusses the oral health status of California children, including sealant prevalence, and reasons why sealants are underutilized, including current reimbursement levels. The article also explains similarities and differences between sealant use in private practice versus public health settings, as well as the effectiveness and economic aspects of school-based sealant programs. Finally, the article briefly discusses the advantages of combined topical fluoride and sealant programs in public health settings.",nocancer
"Sealants: a review of the materials and utilization. Dental pit and fissure sealants have been shown to be effective in the prevention of dental caries. Currently, sealants are recommended to be placed on teeth that are considered to be ""at risk"" to develop caries, including teeth that present with incipient enamel lesions. This paper discusses the types of sealant materials available and the placement of the sealant, including appropriate tooth preparation, acid-etching, polymerization, and use of adhesives prior to sealant placement.",nocancer
"Pit and fissure sealants--an ongoing commitment. The purpose of this article is to provide the dental health professional with sound science related to sealants so that he/she can provide the best care to his/her patients. This article will synthesize the recommendations made by the American Academy of Pediatric Dentistry and the American Dental Association, review the rationale as to why sealants should be placed on a routine basis, and provide practical suggestions on how to optimize sealant placement.",nocancer
"Safety and effectiveness of a 2009 H1N1 vaccine in Beijing. BACKGROUND: After the first monovalent 2009 pandemic influenza A (H1N1) vaccine became available in September 2009, Chinese officials conducted a mass vaccination program in Beijing. We evaluated the safety and effectiveness of the vaccine. METHODS: During a 5-day period in September 2009, a total of 95,244 children and adults received the PANFLU.1 vaccine (Sinovac Biotech), a monovalent split-virion vaccine of 15 mug of hemagglutinin antigen without adjuvant. We assessed adverse events after immunization through an enhanced passive-surveillance system and through active surveillance, using diary cards and telephone interviews. Active surveillance for neurologic diseases was implemented in hospitals citywide. To assess vaccine effectiveness, we compared the rates of reported laboratory-confirmed cases of 2009 H1N1 virus infection in students who received the vaccine with the rates in those who did not receive the vaccine, starting 2 weeks after the mass vaccination. RESULTS: As of December 31, 2009, adverse events were reported by 193 vaccine recipients. Through hospital-based active surveillance, 362 cases of incident neurologic diseases were identified within 10 weeks after the mass vaccination, including 27 cases of the Guillain-Barre syndrome. None of the neurologic conditions occurred among vaccine recipients. From 245 schools, 25,037 students participated in the mass vaccination and 244,091 did not. During the period from October 9 through November 15, 2009, the incidence of confirmed cases of 2009 H1N1 virus infection per 100,000 students was 35.9 (9 of 25,037) among vaccinated students and 281.4 (687 of 244,091) among unvaccinated students. Thus, the estimated vaccine effectiveness was 87.3% (95% confidence interval, 75.4 to 93.4). CONCLUSIONS: Among 95,244 children and adults in Beijing, the PANFLU.1 vaccine had a safety profile similar to those of seasonal influenza vaccines and appeared to be effective against confirmed H1N1 virus infection in school-age children. (Funded by the Beijing Municipal Health Bureau.).",nocancer
"Minority dental faculty development: responsibility and challenge. Over at least the last twenty years, the American Dental Education Association (ADEA) has given attention and priority to increasing the number of underrepresented minority (URM) dental school applicants, enrollees, and faculty members and to meeting the challenges of achieving diversity in the oral health workforce of the future as racial and ethnic minorities continue to grow and are expected to comprise more than 50 percent of the U.S. population by the middle of the twenty-first century. Dental schools have the responsibility of preparing dentists to provide oral health care for the nation's population. This includes creating a workforce of adequate size and racial/ethnic composition. As part of ADEA's priorities to improve the recruitment, retention, and development of URMs in the dental profession, with funding from the W.K. Kellogg Foundation, ADEA launched the Minority Dental Faculty Development Program in 2004. The intent of the program is to foster academic partnerships, mentoring, and institutional commitment and leadership designed to increase the number of URM individuals interested in and prepared for careers in academic dentistry.",nocancer
"Does this older adult with lower extremity pain have the clinical syndrome of lumbar spinal stenosis? CONTEXT: The clinical syndrome of lumbar spinal stenosis (LSS) is a common diagnosis in older adults presenting with lower extremity pain. OBJECTIVE: To systematically review the accuracy of the clinical examination for the diagnosis of the clinical syndrome of LSS. DATA SOURCES: MEDLINE, EMBASE, and CINAHL searches of articles published from January 1966 to September 2010. STUDY SELECTION: Studies were included if they contained adequate data on the accuracy of the history and physical examination for diagnosing the clinical syndrome of LSS, using a reference standard of expert opinion with radiographic or anatomic confirmation. DATA EXTRACTION: Two authors independently reviewed each study to determine eligibility, extract data, and appraise levels of evidence. DATA SYNTHESIS: Four studies evaluating 741 patients were identified. Among patients with lower extremity pain, the likelihood of the clinical syndrome of LSS was increased for individuals older than 70 years (likelihood ratio [LR], 2.0; 95% confidence interval [CI], 1.6-2.5), and was decreased for those younger than 60 years (LR, 0.40; 95% CI, 0.29-0.57). The most useful symptoms for increasing the likelihood of the clinical syndrome of LSS were having no pain when seated (LR, 7.4; 95% CI, 1.9-30), improvement of symptoms when bending forward (LR, 6.4; 95% CI, 4.1-9.9), the presence of bilateral buttock or leg pain (LR, 6.3; 95% CI, 3.1-13), and neurogenic claudication (LR, 3.7; 95% CI, 2.9-4.8). Absence of neurogenic claudication (LR, 0.23; 95% CI, 0.17-0.31) decreased the likelihood of the diagnosis. A wide-based gait (LR, 13; 95% CI, 1.9-95) and abnormal Romberg test result (LR, 4.2; 95% CI, 1.4-13) increased the likelihood of the clinical syndrome of LSS. A score of 7 or higher on a diagnostic support tool including history and examination findings increased the likelihood of the clinical syndrome of LSS (LR, 3.3; 95% CI, 2.7-4.0), while a score lower than 7 made the diagnosis much less likely (LR, 0.10; 95% CI, 0.06-0.16). CONCLUSIONS: The diagnosis of the clinical syndrome of LSS requires the appropriate clinical picture and radiographic findings. Absence of pain when seated and improvement of symptoms when bending forward are the most useful individual findings. Combinations of findings are most useful for identifying patients who are unlikely to have the diagnosis.",nocancer
"Effect of a lung protective strategy for organ donors on eligibility and availability of lungs for transplantation: a randomized controlled trial. CONTEXT: Many potential donor lungs deteriorate between the time of brain death and evaluation for transplantation suitability, possibly because of the ventilatory strategy used after brain death. OBJECTIVE: To test whether a lung protective strategy increases the number of lungs available for transplantation. DESIGN, SETTING, AND PATIENTS: Multicenter randomized controlled trial of patients with beating hearts who were potential organ donors conducted at 12 European intensive care units from September 2004 to May 2009 in the Protective Ventilatory Strategy in Potential Lung Donors Study. Interventions Potential donors were randomized to the conventional ventilatory strategy (with tidal volumes of 10-12 mL/kg of predicted body weight, positive end-expiratory pressure [PEEP] of 3-5 cm H(2)O, apnea tests performed by disconnecting the ventilator, and open circuit for airway suction) or the protective ventilatory strategy (with tidal volumes of 6-8 mL/kg of predicted body weight, PEEP of 8-10 cm H(2)O, apnea tests performed by using continuous positive airway pressure, and closed circuit for airway suction). MAIN OUTCOME MEASURES: The number of organ donors meeting eligibility criteria for harvesting, number of lungs harvested, and 6-month survival of lung transplant recipients. RESULTS: The trial was stopped after enrolling 118 patients (59 in the conventional ventilatory strategy and 59 in the protective ventilatory strategy) because of termination of funding. The number of patients who met lung donor eligibility criteria after the 6-hour observation period was 32 (54%) in the conventional strategy vs 56 (95%) in the protective strategy (difference of 41% [95% confidence interval {CI}, 26.5% to 54.8%]; P <.001). The number of patients in whom lungs were harvested was 16 (27%) in the conventional strategy vs 32 (54%) in the protective strategy (difference of 27% [95% CI, 10.0% to 44.5%]; P = .004). Six-month survival rates did not differ between recipients who received lungs from donors ventilated with the conventional strategy compared with the protective strategy (11/16 [69%] vs 24/32 [75%], respectively; difference of 6% [95% CI, -22% to 32%]). CONCLUSION: Use of a lung protective strategy in potential organ donors with brain death increased the number of eligible and harvested lungs compared with a conventional strategy. TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00260676.",nocancer
"Maintaining a high physical activity level over 20 years and weight gain. CONTEXT: Data supporting physical activity guidelines to prevent long-term weight gain are sparse, particularly during the period when the highest risk of weight gain occurs. OBJECTIVE: To evaluate the relationship between habitual activity levels and changes in body mass index (BMI) and waist circumference over 20 years. DESIGN, SETTING, AND PARTICIPANTS: The Coronary Artery Risk Development in Young Adults (CARDIA) study is a prospective longitudinal study with 20 years of follow-up, 1985-1986 to 2005-2006. Habitual activity was defined as maintaining high, moderate, and low activity levels based on sex-specific tertiles of activity scores at baseline. Participants comprised a population-based multicenter cohort (Chicago, Illinois; Birmingham, Alabama; Minneapolis, Minnesota; and Oakland, California) of 3554 men and women aged 18 to 30 years at baseline. MAIN OUTCOME MEASURES: Average annual changes in BMI and waist circumference. RESULTS: Over 20 years, maintaining high levels of activity was associated with smaller gains in BMI and waist circumference compared with low activity levels after adjustment for race, baseline BMI, age, education, cigarette smoking status, alcohol use, and energy intake. Men maintaining high activity gained 2.6 fewer kilograms (0.15 BMI units per year; 95% confidence interval [CI], 0.11-0.18 vs 0.20 in the lower activity group; 95% CI, 0.17-0.23), and women maintaining higher activity gained 6.1 fewer kilograms (0.17 BMI units per year; 95% CI, 0.12-0.21 vs 0.30 in the lower activity group; 95% CI, 0.25-0.34). Men maintaining high activity gained 3.1 fewer centimeters in waist circumference (0.52 cm per year; 95% CI, 0.43-0.61 cm vs 0.67 cm in the lower activity group; 95% CI,0.60-0.75 cm) and women maintaining higher activity gained 3.8 fewer centimeters(0.49 cm per year; 95% CI, 0.39-0.58 cm vs 0.67 cm in the lower activity group; 95% CI, 0.60-0.75 cm) [corrected]. CONCLUSION: Maintaining high activity levels through young adulthood may lessen weight gain as young adults transition to middle age, particularly in women.",nocancer
"The clinical reasoning process for the intervention of chronic plantar fasciitis. BACKGROUND AND PURPOSE: Of the many foot and ankle conditions affecting older adults, plantar fasciitis (PF) can be especially debilitating when present for many months or years. Chronic PF is an inflammatory condition of the foot that can be detrimental to an individual's functional abilities. Chronic PF significantly impacts older adults since pain associated with PF can cause gait disturbances, difficulty with activities of daily living, and balance impairments and increase the risk of falling. This case report describes the physical therapy examination and subsequent interventions using iontophoresis with dexamethasone and traditional physical therapy in an older adult with chronic PF. CASE DESCRIPTION: The patient was a 61-year-old woman with a 10-year history of chronic PF in the left foot. Physical therapy interventions focused on pain control, flexibility, bilateral and single leg stance tasks, and a progressive home exercise program. The main intervention for pain control was iontophoresis with 4 mg/mL of dexamethasone. OUTCOMES: After 8 sessions of physical therapy that included 7 interventions using iontophoresis with dexamethasone, the patient demonstrated consistent improvement despite the chronicity of her condition. She reported an overall decrease in pain from 6-7 of 10 to 3 of 10 and no longer required night splints. She demonstrated increased ankle active range of motion in all planes. Her weight-bearing tolerance improved as evidenced by the ability to comfortably walk for up to 2 hours, chase after her grandson, and negotiate the grocery store without increased left foot symptoms. CONCLUSION: Iontophoresis with dexamethasone combined with individualized traditional physical therapy may have contributed to decreased plantar foot pain, increased ankle active range of motion, and improved functional mobility in this older adult with chronic PF.",nocancer
"Update on distance and velocity requirements for community ambulation. PURPOSE: The purposes of this study were to provide an update to the ambulatory distance requirements for community ambulation and to update gait speed performance and requirements at intersections. METHODS: Distances were measured at 9 types of sites using a rolling measuring device in accordance with the protocol set forth by Lerner-Frankiel and associates. The 9 types of sites were supermarkets, drug stores, banks, department stores, post offices, medical offices, superstores, club warehouses, and hardware stores. Gait speed allotted by crosswalk signals as well as the gait speeds of individuals through crosswalks were recorded. Qualitative observations of the pedestrians' age (older - 65 years; younger < 65 years) and sex were also noted. RESULTS: Distances were measured at 141 different establishments. The shortest mean distance requirement was found in the medical offices at 65.82 (32.28) m. Club warehouses had the longest mean distance requirement at 676.82 (159.36) m. The mean gait speed used by the pedestrians (N = 139) was 1.32 (0.31) m/s while the mean speed necessary as set by the crosswalk signals was 0.49 (0.20) m/s. All of the individuals observed were able to cross the street within the allotted time and with adequate speed. The gait speeds met the normative data established for age and sex as well as data reported for slower older adults and some with incomplete spinal cord injury. CONCLUSIONS: Distance requirements for full community ambulation may need to be increased to 600 m or more. Gait speed requirements at crosswalks in the communities measured are set to accommodate the gait speed capabilities of older pedestrians who attempt crossing at controlled intersections.",nocancer
"Concurrent validity and reliability of the maximum step length test in older adults. PURPOSE: This study assessed concurrent validity of the Maximum Step Length (MSL) test as a measure of falls risk and balance-impairment for community-dwelling older adults. A secondary purpose was to determine intra- and interrater reliability and standard error of measurement of the MSL test. METHODS: Thirty-five community-dwelling adults aged 60 or older provided a 12-month falls history. Functional measures included the MSL test, Single Limb Stance Time, Functional Reach test, Timed Up and Go test, and a test of trunk position sense. Pearson correlation coefficient, intraclass correlation coefficient (a coefficient of relative reliability), and standard error of measurement (a measure of absolute reliability) were calculated as indices of concurrent validity and reliability of the MSL test. Minimal detectable change was also calculated; this represents actual change beyond that of measurement error or random variation in stepping performance. RESULTS: Correlations between MSL score and clinical balance measures and self-reported number of falls in the past 12 months ranged from fair to good. Same-day and 1-month intrarater test-retest reliability of the MSL test was excellent. Same-day interrater reliability between 2 raters was also excellent. Measurement error of the MSL test was low. Minimal detectable change for the MSL test at the 95% confidence level was 7.32 inches. CONCLUSION: The MSL test appears to be a valid and reliable measure of balance-impairment and falls risk in older adults. Clinicians should consider incorporating the MSL test into their battery of falls risk assessment tools. Use of this test as a screening measure may reduce the incidence of falls in community-dwelling older adults. Real change in performance requires a difference of more than 7.32 inches between trials; differences less than this should be interpreted as being due to measurement error or random variation in stepping performance.",nocancer
"The effect of shoulder immobilization on balance in community-dwelling older adults. PURPOSE: Shoulder immobilization devices are commonly used in the treatment of older adults following proximal humeral fractures. Immobilization of the shoulder may have a negative effect on balance, which could increase risk for falls. The purpose of this study was to examine the effect of shoulder immobilization on balance in the community-dwelling older adult population as measured by the Berg Balance Scale (BBS). METHODS: Fifty-three subjects (14 men and 39 women, mean age = 75.4 years) participated in the study. The BBS was administered twice to each participant. Subjects were tested once while wearing a shoulder immobilizer and once without a shoulder immobilizer. The immobilizer positioned the elbow at 90 degrees of flexion and anchored the arm to the trunk. The Wilcoxon signed-ranks test was used to evaluate differences in BBS scores. A 2-tailed test was performed with a set at .05. RESULTS: Mean (SD) BBS scores were 53 (4.0) without the immobilizer and 52 (4.7) with the immobilizer. BBS change scores (score with immobilizer minus score without immobilizer) ranged from +1 to -7, with a mean change score of -1.02. The Wilcoxon signed-ranks test indicated a significant difference between paired observations (negative ranks = 29, positive ranks = 6, P < .0001). Balance was impaired (significantly lower BBS scores) when subjects wore the device compared with the testing sessions without the device. CONCLUSIONS: The results indicate that immobilizing the shoulder may have a negative effect on balance as measured by the BBS. If shoulder immobilization places an individual at greater risk for falls, early balance screening by a physical therapist to determine the appropriateness of a fall prevention program may be indicated.",nocancer
"Predictors of balance in young, middle-aged, and late middle-aged women. OBJECTIVES: To evaluate the relationships between physiological variables and balance and the potential predictors of static and dynamic balance in young (n = 30, 18-25 years), middle-aged (n = 26, 35-45 years), and late middle-aged (n = 29, 55-64 years) women. METHODS: Maximal leg strength, hip and ankle flexibility, total and regional body composition, and total and regional bone mineral density were measured. The NeuroCom Balance Master (NeuroCom International, Inc, Clackamas, Oregon) assessed static postural stability (Modified Clinical Test of Sensory Interaction on Balance [MCTSIB], eyes open [EO] on foam; Unilateral Stance [US] eyes open and eyes closed [EC]) and dynamic balance (Tandem Walk [TW] and Step Quick and Turn [SQT]). RESULTS: The youngest group was significantly stronger (P = .001), had greater bone mineral density (P = .001-.028), lower percentage of fat (P = .001), and greater bone-free lean body mass (P = .028 for arms and P = .004 for legs) than the older groups. Hip and ankle flexibility was similar between groups and only 2 measures of balance (US EO and SQT) were significantly different, with the oldest group being significantly less stable than the other 2 groups (P = .001 and P = .018, respectively). Regression analyses determined only 1 significant prediction equation for balance for the youngest group (TW Sway Velocity), 2 significant prediction equations for the middle-aged group (US EC Sway Velocity and SQT Sway), and 5 significant prediction equations for the oldest group (MCTSIB EC Sway Velocity, US EO Sway Velocity, US EC Sway Velocity, TW Sway Velocity, and SQT Sway). CONCLUSION: Measures of balance were easier to predict as age increased, and there were more significant correlations between predictors of balance when balance was assessed dynamically (TW and SQT) rather than statically (MCTSIB and US).",nocancer
"Tai chi as a balance improvement exercise for older adults: a systematic review. PURPOSE: The purpose of this systematic review was to identify exercise parameters and the most common outcome measures used in tai chi (TC) research. METHODS: Ovid Medline and PubMed were used to identify longitudinal studies published from January 2000 to July 2007 written in English with the key words tai chi, tai ji, tai chi quan, tai ji quan, balance, falls, and falling. Qualifying studies had subjects aged 60 years or older. RESULTS: In all 19 qualified prospective studies, older vigorous and likely transitional frail individuals seemed to benefit more from TC than did older frail individuals. The most commonly used TC parameters were Yang's style, with 12 or fewer forms, durations of 12 weeks or longer, frequencies of twice a week or more, and session lengths of at least 45 minutes. The most common outcome measures observed were a combination of 2 to 5 of the following 10 measures (from most to least common): fear of falling, single-leg stance, posturography, rate of falling, flexibility, walking velocity, Berg Balance Scale, Timed up and Go, Functional Reach, and ankle and knee joint strength and range of motion. Improvements were reported in almost all of these measures. CONCLUSIONS: This review indicates that TC may be an economic and effective exercise program for improving balance and balance confidence in older adults.",nocancer
"Surveillance for certain health behaviors among states and selected local areas - United States, 2008. PROBLEM: Chronic diseases (e.g., diabetes, cancer, heart disease, and stroke) are the leading causes of morbidity and mortality in the United States. Data on health risk behaviors that increase the risk for chronic diseases and use of preventive practices are essential for the development, implementation, and evaluation of health promotion programs, policies, and intervention strategies to decrease or prevent the leading causes of morbidity and mortality. Surveillance data from states and territories, selected metropolitan and micropolitan areas, and counties are vital components of these various prevention and intervention strategies. REPORTING PERIOD: January-December 2008 Description of the System: The Behavioral Risk Factor Surveillance System (BRFSS) is an ongoing, state-based, random-digit--dialed telephone survey of noninstitutionalized adults residing in the United States. BRFSS collects data on health risk behaviors, preventive health services and practices, and access to health care related to the leading causes of death and disability in the United States. This report presents results for 2008 for all 50 states, the District of Columbia, Puerto Rico, Guam, the U.S. Virgin Islands, 177 metropolitan and micropolitan statistical areas (MMSAs), and 266 counties. RESULTS: In 2008, the estimated prevalence of high-risk behaviors, chronic diseases and conditions, screening practices, and use of preventive health-care services varied substantially by state and territory, MMSA, and county. The following is a summary of results listed by BRFSS question topic. Each set of proportions refers to the range of estimated prevalence for the disease, condition, or behavior as reported by the survey respondent. Adults reporting good or better health: 68% to 89% for states and territories and 69% to 93% for selected MMSAs and counties. Health care insurance coverage: 72% to 96% for states and territories, 61% to 97% for MMSAs, and 61% to 98% for counties. Teeth extractions among persons aged >/=65 years: 10% to 38% for states and territories, 5% to 36% for MMSAs, and 4% to 34% for counties. Adults who had a checkup during the preceding 12 months: 56% to 81% for states and territories, 51% to 85% for MMSAs, and 51% to 89% for counties. Influenza vaccination among persons aged >/=65 years: 31% to 78% for states and territories, 52% to 82% for MMSAs, and 51% to 86% for counties. Pneumococcal vaccination among persons aged >/=65 years: 28% to 73% for states and territories, 46% to 82% for MMSAs, and 41% to 83% for counties. Adults aged >/=50 years who had a sigmoidoscopy/colonoscopy: 38% to 74% for states and territories, 45% to 78% for selected MMSAs, and 45% to 80% for counties. Adults aged >/=50 years who had a blood stool test during the preceding 2 years: 8% to 29% for states and territories, 7% to 51% for MMSAs, and 7% to 40% for counties. Among women aged >/=18 years who had a Papanicolaou test during the preceding 3 years: 67% to 89% for states and territories, 66% to 93% for selected MMSAs, and 66% to 96% for counties. Women aged >/=40 years who had a mammogram during the preceding 2 years: 64% to 85% for states and territories, and 61% to 88% for MMSAs and counties. Men aged >/=40 years who had a Prostate-Specific Antigen (PSA) test during the preceding 2 years: 34% to 66% for states and territories, 39% to 70% for MMSAs, and 37% to 71% for counties. Current cigarette smoking among adults aged >/=18 years: 6% to 27% for states and territories, 5% to 31% for MMSAs, and 5% to 30% for counties. Adults who reported binge drinking during the preceding month: 8% to 23% for states and territories, 3% to 25% for selected MMSAs, and 3% to 26% for counties. Heavy drinking among adults during the preceding month: 3% to 8% for states and territories, <1% to 10% for MMSAs, and 1% to 11% for counties. Adults who reported no leisure-time physical activity: 18% to 47% for states and territories, 12% to 40% for MMSAs, and 10% to 40% for selected counties. Adults who were overweight (BMI >/=25.0 and <30.0): 33% to 40% for states and territories, 31% to 46% for selected MMSAs, and 28% to 50% for counties. Adults aged >/=20 years who were obese (BMI >/=30.0): 20% to 34% for states and territories, 15% to 40% for MMSAs, and 13% to 40% for counties. Asthma among adults: 5% to 11% for states and territories, 4% to 13% for MMSAs, and 4% to 15% for counties. Diabetes among adults: 6% to 12% for states and territories, 3% to 17% for selected MMSAs, and 3% to 14% for counties. Adults aged >/=18 years who had limited activity because of physical, mental, or emotional problems: 10% to 30% for states and territories, 13% to 33% for MMSAs, and 12% to 31% for counties. Adults who required use of special equipment: 4% to 11% for states and territories, 3% to 12% for MMSAs, and 2% to 13% for counties. Angina and coronary heart disease among adults aged >/=45 years: 5% to 19% for states and territories, 6% to 22% for MMSAs, and 4% to 22% for counties. Adults aged >/=45 years with a history of stroke: 3% to 7% for states and territories, 2% to 11% for selected MMSAs, and 1% to 12% for counties. INTERPRETATION: The findings in this report indicate substantial variation in health-risk behaviors, chronic diseases and conditions, and use of preventive health-care services among U.S. adults at the state and territory, MMSA, and county level. The findings underscore the continued need for surveillance of health-risk behaviors, chronic diseases and conditions, and the use of preventive health services. PUBLIC HEALTH ACTION: Healthy People 2010 objectives have been established to monitor health behaviors and the use of preventive health services. Local and state health departments and federal agencies use BRFSS data to identify populations at high risk for certain health behaviors, chronic diseases and conditions, and to evaluate the use of preventive services. In addition, BRFSS data are used to direct, implement, monitor, and evaluate public health programs and policies that can lead to a reduction in morbidity and mortality from adverse effects of health-risk behaviors and subsequent chronic conditions.",nocancer
"Prevention of pneumococcal disease among infants and children - use of 13-valent pneumococcal conjugate vaccine and 23-valent pneumococcal polysaccharide vaccine - recommendations of the Advisory Committee on Immunization Practices (ACIP). On February 24, 2010, a 13-valent pneumococcal polysaccharide-protein conjugate vaccine (PCV13 [Prevnar 13, Wyeth Pharmaceuticals Inc., marketed by Pfizer Inc.]) was licensed by the Food and Drug Administration (FDA) for prevention of invasive pneumococcal disease (IPD) caused among infants and young children by the 13 pneumococcal serotypes covered by the vaccine and for prevention of otitis media caused by serotypes also covered by the 7-valent pneumococcal conjugate vaccine formulation (PCV7 [Prevnar, Wyeth]). PCV13 contains the seven serotypes included in PCV7 (serotypes 4, 6B, 9V, 14, 18C, 19F, and 23F) and six additional serotypes (serotypes 1, 3, 5, 6A, 7F, and 19A). PCV13 is approved for use among children aged 6 weeks-71 months and supersedes PCV7, which was licensed by FDA in 2000. This report summarizes recommendations approved by the Advisory Committee on Immunization Practices (ACIP) on February 24, 2010, for the use of PCV13 to prevent pneumococcal disease in infants and young children aged <6 years. Recommendations include 1) routine vaccination of all children aged 2-59 months, 2) vaccination of children aged 60-71 months with underlying medical conditions, and 3) vaccination of children who received >/=1 dose of PCV7 previously (CDC. Licensure of a 13-valent pneumococcal conjugate vaccine [PCV13] and recommendations for use among children-Advisory Committee on Immunization Practices [ACIP], 2010. MMWR 2010;59:258-61). Recommendations also are provided for targeted use of the 23-valent pneumococcal polysaccharide vaccine (PPSV23, formerly PPV23) in children aged 2-18 years with underlying medical conditions that increase their risk for contracting pneumococcal disease or experiencing complications of pneumococcal disease if infected. The ACIP recommendation for routine vaccination with PCV13 and the immunization schedules for children aged </=59 months who have not received any previous PCV7 or PCV13 doses are the same as those published previously for PCV7 (CDC. Preventing pneumococcal disease among infants and young children: recommendations of the Advisory Committee on Immunization Practices [ACIP]. MMWR 2000;49[No. RR-9]; CDC. Updated recommendation from the Advisory Committee on Immunization Practices [ACIP] for use of 7-valent pneumococcal conjugate vaccine [PCV7] in children aged 24-59 months who are not completely vaccinated. MMWR 2008;57:343-4), with PCV13 replacing PCV7 for all doses. For routine immunization of infants, PCV13 is recommended as a 4-dose series at ages 2, 4, 6, and 12-15 months. Infants and children who have received >/=1 dose of PCV7 should complete the immunization series with PCV13. A single supplemental dose of PCV13 is recommended for all children aged 14-59 months who have received 4 doses of PCV7 or another age-appropriate, complete PCV7 schedule. For children who have underlying medical conditions, a supplemental PCV13 dose is recommended through age 71 months. Children aged 2-18 years with underlying medical conditions also should receive PPSV23 after completing all recommended doses of PCV13.",nocancer
"Update: outbreak of cholera ---Haiti, 2010. The first cholera outbreak in Haiti in at least a century was confirmed by the Haitian National Public Health Laboratory on October 21, 2010. Surveillance data through December 3, provided by the Haitian Ministry of Public Health and Population (MSPP), indicated that the outbreak had spread nationwide and that cases of cholera and cholera-associated hospitalizations and deaths had climbed rapidly in November. As of December 3, MSPP reported 91,770 cases of cholera from all 10 departments and the capital city of Port-au-Prince; 43,243 (47.1%) patients had been hospitalized, and 2,071 (2.3%) had died. A rapid mortality assessment in Artibonite Department found that deaths occurred as rapidly as 2 hours after symptom onset and identified important gaps in access to life-saving treatments, including oral rehydration solution (ORS). Urgent activities are under way, and additional efforts are imperative to reduce cholera mortality by expanding access to cholera treatment and to reduce cholera transmission by improving access to safe water and adequate sanitation.",nocancer
"Progress toward poliomyelitis eradication --- India, January 2009-October 2010. India is one of only four countries (including Afghanistan, Nigeria, and Pakistan) where wild poliovirus (WPV) transmission has never been interrupted. Historically, WPV transmission in India has centered largely in Uttar Pradesh and Bihar, two states with low routine vaccination coverage, large migrant and remote populations, and lower relative vaccine effectiveness than other areas of the country. However, during a 9-month period from November 2009 to August 2010, no WPV type 1 (WPV1) cases were reported in Uttar Pradesh or Bihar. This report summarizes the substantial progress made in India toward polio eradication during January 2009-October 2010, according to data reported as of December 4, and updates previous reports. During January-October 2010, only 40 WPV cases were confirmed in India, a 94% decrease from the 626 WPV cases confirmed during the same period in 2009; the decrease likely resulted, in large part, from the introduction of bivalent oral poliovirus vaccine types 1 and 3 (bOPV). Increasingly important contributors to WPV transmission are large migrant subpopulations; surveys have indicated that up to 11% of children aged <5 years in these subpopulations were missed during supplementary immunization activities (SIAs). Interruption of all WPV transmission in India will require maintaining high levels of immunity in Uttar Pradesh and Bihar and additional efforts directed toward children in migrant subpopulations that are not vaccinated as readily during SIAs.",nocancer
"Nonpolio enterovirus and human parechovirus surveillance --- United States, 2006-2008. Enteroviruses, members of the Picornaviridae family, are common viruses associated with clinical manifestations ranging from mild respiratory symptoms to serious conditions, including aseptic meningitis, encephalitis, neonatal sepsis, and acute flaccid paralysis. Approximately 100 serotypes of nonpolio enteroviruses have been recognized, and some viruses previously classified as enteroviruses, namely echovirus 22 and 23, recently have been reclassified as human parechoviruses (HPeVs), a different genus within the Picornaviridae family. This report describes trends in nonpolio enterovirus and HPeV detections during 2006-2008, based on data from two laboratory-based surveillance systems, the National Enterovirus Surveillance System (NESS) and, for the first time, the National Respiratory and Enteric Virus Surveillance System (NREVSS). As in previous years, approximately 70% of detections occurred during July-October, the peak enterovirus season. The five most common enterovirus serotypes (coxsackievirus B1 [CVB1], echovirus 6, echovirus 9, echovirus 18, and coxsackievirus A9) accounted for 54% of total serotyped detections. During 2006-2008, southern states reported the most serotyped enterovirus detections, followed by midwestern states, western states, and the northeastern states. In 2007 and 2008, CVB1 was the predominant serotype detected, accounting for 24% and 19% of overall detections, respectively. In 2007, CVB1 was implicated in an outbreak of serious neonatal infections in the United States. Understanding trends in enterovirus and HPeV circulation can help clinicians decide when to test for these infections. Also, more timely reporting of data could help public health officials recognize outbreaks associated with these viruses.",nocancer
